AAPL,AXP,BA,CAT,CSCO,CVX,DIS,DD,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MMM,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT,XOM
132.54,154.8,235.19,228.17,51.17,105.53,185.51,78.28,350.16,330.27,144.75,57.26,165.21,153.36,54.48,235.56,198.61,72.45,251.86,133.03,39.83,135,156.59,405.9,232.61,57.92,54.3,142.12,58.82
127.85,154.53,233.63,233.41,50.71,106.11,184.25,79.5,349.84,332.77,145.75,56.9,167.77,155.48,54.14,233.86,199.38,72.46,247.79,131.55,39.95,134.54,158.53,411.34,232.03,58.6,54.12,140.72,59.19
128.1,156.39,228.18,237.88,51.13,108.96,181.51,80.92,357.62,332.05,145.22,56.85,167.07,157.52,54,235.04,201.44,74.09,246.47,132.21,39.97,133.46,159.29,412.5,229.21,58.69,54.47,140.6,60.97
129.74,156.88,229.81,237.07,52.44,109.02,181.79,81.4,365.97,337.58,148.42,57.19,167.74,160.69,54.54,234.86,202.41,74.17,249.73,133.49,39.19,135.14,160.5,414.97,231.32,59.29,54.46,141.05,61.55
130.21,158.98,235.47,240.99,53.43,110.02,184.84,82.85,370.89,339.25,145.46,57.67,168.5,161.24,54.51,234.84,203.07,74.77,252.46,137.81,39.58,135.15,160.81,417.65,232.12,58.72,54.53,140.2,62.43
126.85,158.68,232.93,242.61,53.16,109.57,184.3,81.68,368.68,341.12,146.17,55.97,170.27,161.22,54.91,237.11,207.33,74.54,247.18,136.4,39.86,137.67,161.67,420.89,225.97,59.52,55.11,140.82,62.58
125.91,154.43,228.88,239.3,52.83,106.7,181.67,82.83,359.92,330.66,144.22,55.04,168.88,158.54,54.32,233.86,203.72,73.86,246.23,137.12,39.35,136.99,156.69,411.7,225.48,58.54,54.24,139.55,60.59
122.77,152.3,220.78,237.32,51.6,107.37,177.85,80.31,354.4,317,141.3,53.62,168.2,157.45,54.04,227.94,198.87,74.38,239,133.39,39.69,135.54,153.75,405.37,220.63,58.41,53.04,135.94,60.04
124.97,154.08,222.64,240.07,52.49,106.68,178.34,81.62,358.81,325.42,144.17,54.01,169.96,161.5,54.51,229.77,203.41,75.03,243.03,133.61,40.1,137.72,157.76,408.56,223.74,58.81,54.14,138.24,59.3
127.45,157.15,228.47,242.23,52.9,109.47,173.7,83.24,368.77,323.63,144.68,55.35,170.22,164.01,54.73,231.72,204.38,74.65,248.15,135.93,40.02,138.01,160.51,409.8,226.94,58.69,54.71,139.52,60.77
126.27,156.86,227.98,244.79,52.94,110.81,170.08,85.3,369.25,320.01,145.11,55.33,170.39,164.67,54.64,231.68,205.11,76.16,245.18,136.41,40.11,137.73,160.25,408.63,226.44,57.94,55.3,138.89,62.19
124.85,154.99,227.55,239.47,52.93,106.18,169.68,85.11,364.56,316.75,143.91,54.84,170.45,162.35,54.34,231.93,203.03,75.69,243.08,135.56,40.05,136.32,157.29,410.38,225.57,57.18,55.26,141.91,60.43
124.69,154.73,224.42,236.87,52.47,103.2,169.27,84.24,358.38,314.45,143.19,55.36,170.08,161.11,54.17,230.15,202.6,75.67,243.12,132.96,39.83,136.6,157,409.5,224.59,56.92,54.81,141.92,58.98
127.31,155.53,227.65,234.99,52.85,103.56,171.36,84.08,359.78,315.9,143.88,55.95,171.07,160.83,54.65,232.18,201.65,75.96,246.48,133.27,40.12,138,158.81,408.64,226.44,56.79,54.6,142.42,58.84
125.43,156.87,234.82,237.24,52.43,104.12,172.4,84.12,366.26,315.77,144.74,56.08,170.96,162.66,54.62,231.24,201.86,75.5,245.17,132.66,39.95,138,159.08,411.63,226.77,56.91,54.88,141.75,58.92
127.1,158.64,237.44,239.05,53.39,105.6,174.31,85.26,368.29,314.84,144.72,56.96,170.55,163.54,54.8,231.91,202.61,75.36,250.78,134.06,39.81,137.96,158.73,410.95,229.32,56.98,54.83,141.76,59.61
126.9,158.01,240.74,237.17,53.31,103.87,176.17,83.4,364.51,316.75,143.79,56.87,170.08,161.85,54.79,232.14,201.71,73.9,251.72,134.32,39.33,138.43,156.55,413.05,229.02,56.48,54.19,142.34,58.26
126.85,158.58,241.37,237.71,52.91,104.12,176.47,83.55,367.4,317.33,143.38,56.92,169.07,161.83,55.03,232.35,201.58,73.64,251.49,136.89,38.92,138.12,157.14,413.21,227.07,56.36,52.01,142.17,58.94
125.28,159.74,250.7,241.28,52.92,103.01,179.04,84.72,371.37,318.77,143.82,57.73,168.81,164.35,55.49,234.86,203.24,72.39,249.31,136.56,38.65,134.98,159.35,412.7,226.86,56.29,53.04,141.69,58.56
124.61,160.13,247.02,241.08,52.9,103.79,178.65,84.59,372.02,318.91,143.74,57.12,169.25,164.24,55.29,233.89,203.04,72.36,249.68,136.46,38.73,134.85,159.7,411.92,227.3,56.49,52.66,142.03,58.37
