2330-台積電,2317-鴻海,2454-聯發科,2308-台達電,2382-廣達,"2891-中信金",2881-富邦金,2882-國泰金,3711-日月光投控,2303-聯電
41.9,381.71,189.13,1017.85,279.66,1258.38,83.16,64.12,36.58,148.88
42.08,384.17,189.61,1037.52,279.66,1263.18,84.37,65.35,36.95,149.36
41.75,388.1,193.96,1052.27,280.61,1267.99,84.09,65.44,36.76,152.25
40.96,384.66,192.03,1057.18,280.61,1272.79,84.74,65.63,37,151.77
40.86,392.03,191.06,1047.35,283.48,1253.58,85.39,65.16,37.05,153.69
41.38,397.92,188.17,1057.18,282.52,1272.79,84.92,65.63,37,154.18
41.05,395.96,185.27,1047.35,279.66,1296.8,85.39,65.06,37.05,152.25
40.39,407.26,182.38,1027.68,273.93,1296.8,85.02,64.87,37.05,150.32
39.92,409.71,181.89,1046.44,272.98,1325.62,87.15,66.01,37.52,151.29
38.94,415.61,179.96,1051.37,272.5,1354.44,86.87,65.92,37.52,152.73
38.94,418.55,175.62,1071.12,262.48,1330.43,86.96,66.49,37.81,154.66
39.97,412.17,176.59,1061.25,262.48,1368.85,85.85,65.06,37.81,152.25
41.05,418.06,178.03,1071.12,263.43,1364.05,85.29,65.25,37.62,155.14
40.39,409.22,174.66,1056.31,262,1364.05,84.37,64.21,37.33,155.14
39.78,404.8,174.66,1021.76,264.86,1335.23,83.9,63.83,36.48,151.77
40.3,412.66,179,1066.18,275.84,1354.44,84.83,65.44,37.24,154.66
41.33,418.06,179,1066.18,277.75,1349.64,85.2,65.35,37.29,158.51
41.38,415.12,179.96,1071.12,278.7,1354.44,84.92,65.16,37.19,159.48
41.05,420.52,180.93,1071.12,277.75,1364.05,84.74,65.16,37.38,158.99
40.96,423.96,179.96,1076.05,277.75,1373.65,85.2,65.73,37.38,158.99
40.49,426.91,178.52,1076.05,274.89,1364.05,84.74,65.63,37.38,157.55
40.44,422.98,177.55,1061.25,273.93,1359.24,83.81,64.78,37.05,156.1
41.05,409.71,176.1,1051.37,267.25,1323.94,84.18,64.49,36.67,154.66
40.49,406.76,174.66,1061.25,275.84,1338.65,84.55,64.31,36.95,155.14
40.77,411.19,178.03,1110.61,280.61,1397.49,85.29,65.25,37.33,159.96
39.78,424.45,183.34,1115.54,282.04,1461.24,85.29,65.54,37.14,168.63
40.11,420.52,181.41,1090.86,281.57,1441.62,84.55,65.25,37.05,165.26
39.08,410.2,176.59,1085.93,274.89,1412.2,84.55,64.78,36.91,159.96
38.8,412.66,175.14,1085.93,270.59,1436.72,83.44,61.74,36.53,162.37
38.42,393.01,165.49,1061.25,258.18,1363.17,83.34,60.89,36.29,156.59
39.69,402.83,168.38,1076.05,256.75,1372.97,84.27,62.12,36.81,155.14
38.94,393.5,165.01,1051.37,248.16,1392.59,83.9,61.36,36.72,155.62
39.03,411.19,167.42,1090.86,248.16,1431.81,85.02,62.12,37.05,158.99
38.7,414.62,167.42,1105.67,248.64,1402.39,84.46,62.12,37,159.96
40.16,419.54,171.76,1105.67,254.84,1417.1,83.99,61.74,36.67,165.74
40.35,414.13,172.24,1105.67,256.75,1436.72,84.92,62.5,36.95,165.74
37.76,429.85,173.69,1120.48,257.23,1436.72,86.13,63.36,37.05,170.56
38.04,392.03,159.7,1056.31,231.94,1471.04,84.83,62.6,36.95,155.14
37.67,390.06,159.22,1080.99,224.3,1461.24,83.81,61.84,36.81,151.77
37.67,398.41,165.01,1095.8,229.07,1495.56,85.2,63.07,37.33,155.62
37.67,409.71,166.94,1100.73,231.46,1495.56,86.31,63.45,37.52,155.14
37.72,407.75,171.76,1110.61,240.53,1495.56,85.66,63.45,37.66,158.51
37.76,397.43,167.9,1090.86,240.53,1451.43,86.69,63.93,38.04,160.44
37.95,394.97,172.73,1095.8,246.25,1480.85,87.06,64.97,37.95,161.4
37.67,393.99,170.8,1085.93,246.25,1456.33,86.69,65.16,38.14,159.48
38.89,397.92,173.69,1076.05,248.16,1490.66,86.69,65.16,38.38,164.29
38.89,393.99,171.76,1046.44,248.16,1475.95,86.41,65.16,37.85,168.63
39.45,398.9,176.1,1071.12,248.64,1515.17,87.24,65.44,38.52,171.52
39.41,384.17,177.07,1085.93,252.46,1505.37,87.52,65.63,38.23,172.48
39.97,385.15,176.59,1076.05,257.23,1510.27,85.76,65.16,37.9,176.82
40.39,383.18,175.62,1066.18,254.37,1471.04,85.39,65.25,38.09,172.97
40.96,389.08,176.59,1080.99,257.71,1480.85,85.94,65.35,38.19,174.41
40.91,388.59,177.55,1061.25,252.93,1515.17,85.02,65.16,38.28,169.59
40.67,386.13,171.28,1041.5,242.91,1520.08,85.11,65.16,38.52,170.08
40.96,392.03,174.17,1046.44,248.16,1529.88,86.13,65.63,38.9,169.11
41.05,394.97,167.9,1026.69,239.09,1485.75,85.66,64.87,38.61,164.78
40.96,383.18,164.04,1006.95,239.09,1441.62,86.13,65.25,38.9,159.48
40.96,370.9,164.52,987.21,246.73,1475.95,84.64,64.21,38.85,158.03
41.33,371.88,167.42,1006.95,250.07,1475.95,85.2,64.68,38.28,159.96
41.33,376.8,167.42,992.14,248.64,1466.14,85.85,65.16,38.61,159.96
41.47,368.45,165.97,992.14,246.25,1436.72,84.37,63.83,37.95,156.59
42.32,368.94,165.97,985.23,249.12,1368.07,84.18,63.83,37.9,155.14
42.13,364.02,162.59,958.58,242.91,1358.26,83.25,62.5,37.57,150.32
42.08,380.73,164.52,975.36,247.68,1382.78,83.07,63.07,38.19,153.21
41.05,381.71,162.11,952.65,245.77,1363.17,82.6,62.5,37.9,151.77
42.18,371.88,164.04,946.73,244.82,1372.97,81.86,62.6,37.66,149.36
41.43,387.11,162.11,957.59,243.39,1397.49,83.53,62.6,38,151.77
41.8,393.01,161.63,963.04,247.68,1446.52,83.9,63.07,38.19,154.66
41.61,383.67,158.25,944.2,241.96,1436.72,82.6,61.93,38.14,152.25
42.41,386.62,160.18,976.93,245.3,1456.33,83.44,62.5,37.85,156.59
42.27,389.08,159.22,964.04,244.34,1451.43,82.6,61.74,37.85,155.14
42.13,385.15,157.29,964.04,238.14,1451.43,82.6,61.65,38.23,154.66
42.13,385.15,159.22,981.89,238.14,1495.56,83.25,61.65,38.14,154.66
41.85,392.03,160.18,971.97,240.53,1485.75,83.44,62.03,38.33,155.62
42.08,385.15,154.88,950.15,234.8,1456.33,83.44,61.93,38.28,150.8
41.85,369.92,148.6,944.2,230.03,1436.72,81.86,60.7,38.33,145.02
41.94,353.71,140.88,902.54,214.28,1363.17,79.17,58.05,37.38,137.79
43.16,364.52,146.67,936.27,223.35,1431.81,81.12,58.42,37.81,144.06
42.51,363.04,148.12,934.28,222.39,1407.3,81.3,58.42,38.28,143.58
38.28,327.18,133.65,841.05,200.44,1270,73.23,52.64,34.49,129.6
39.17,299.67,120.62,809.31,182.78,1235.68,72.3,51.31,33.97,122.86
37.48,275.6,108.56,778.57,170.37,1162.12,66.92,46.95,32.22,110.81
41.19,303.11,119.17,855.93,187.08,1274.9,73.6,51.6,35.44,121.9
41.43,329.14,129.79,881.72,205.69,1358.26,74.62,51.41,35.3,129.6
41.61,324.23,133.65,857.91,217.62,1372.97,75.08,51.69,35.11,127.68
41.99,324.72,134.61,869.82,217.62,1358.26,76.57,53.11,35.77,130.57
42.22,314.9,131.23,848,216.66,1338.65,74.34,51.98,35.77,128.64
41.43,309.99,129.79,840.06,219.53,1314.13,73.88,51.12,35.25,124.79
41.61,313.92,130.75,843.04,220,1338.65,73.79,50.84,34.82,124.3
41,306.55,131.72,828.16,221.44,1319.03,73.32,51.31,34.4,123.82
41.61,304.58,127.37,809.31,213.32,1274.9,71.74,49.79,33.83,122.86
42.37,323.74,134.13,865.85,224.3,1343.55,73.6,50.84,34.35,132.5
40.77,320.79,131.72,856.92,219.53,1304.32,72.67,50.74,34.44,127.68
41.94,324.72,134.13,880.72,224.3,1353.36,73.69,51.31,35.01,132.5
42.18,334.55,137.51,889.65,233.84,1323.94,73.51,51.79,36.01,132.01
42.22,334.06,137.99,894.61,231.46,1343.55,75.55,52.83,36.95,133.46
42.46,327.67,136.54,900.56,227.64,1323.94,78.24,55.48,37.24,130.57
42.88,347.81,142.33,942.22,239.57,1274.9,78.89,55.67,38.14,133.94
42.32,351.74,137.51,930.32,235.28,1270,74.25,51.88,37.24,129.12
42.65,352.73,140.88,912.46,242.43,1255.29,73.32,53.02,37.9,131.53
42.98,357.15,139.92,920.4,242.43,1250.39,72.39,53.3,37.52,130.57
42.55,365.5,140.88,910.48,240.05,1265.1,72.49,52.35,37.62,132.5
42.79,367.46,141.85,941.23,244.82,1299.42,71.84,52.35,37.85,132.5
43.63,363.53,147.64,949.16,246.73,1289.61,72.49,53.21,38,136.83
43.73,361.57,152.46,961.06,250.07,1328.84,73.32,54.92,38.09,139.72
44.15,365.5,157.29,990.82,263.91,1333.74,74.25,55.77,38.47,144.54
44.62,364.02,153.91,984.86,264.86,1343.55,74.71,56.53,38.99,145.02
44.9,364.52,152.46,989.82,262.48,1338.65,76.01,59.75,39.8,141.65
44.85,356.66,148.6,975.94,253.89,1284.71,74.06,57.38,39.32,136.83
44.95,359.11,148.6,969.99,254.37,1289.61,74.9,58.33,39.56,138.76
46.55,371.88,149.57,981.89,259.61,1314.13,75.64,60.23,40.74,139.24
46.45,371.39,147.64,973.95,255.32,1299.42,76.01,62.22,40.65,139.72
45.14,366.97,148.6,975.94,251.98,1289.61,75.64,62.31,40.55,137.31
44.24,364.02,147.64,968,253.41,1255.29,75.08,59.75,39.18,138.76
43.21,361.08,146.67,957.09,253.89,1255.29,74.53,58.99,38.66,136.35
44.2,363.53,146.67,959.08,256.75,1255.29,73.79,58.05,38.94,136.83
43.91,367.46,150.53,959.08,259.14,1235.68,73.88,56.72,38.71,132.98
44.1,361.08,147.16,938.25,258.66,1235.68,75.92,57.29,39.61,129.6
44.38,372.87,146.19,942.22,262.48,1250.39,77.59,60.61,40.74,128.64
43.16,382.2,150.53,981.89,267.25,1250.39,80.84,61.36,40.27,134.9
42.55,391.04,150.05,989.82,268.68,1220.97,80.84,62.69,39.04,134.42
42.27,389.08,147.64,986.85,263.43,1255.29,81.49,62.88,39.37,133.94
42.88,390.55,149.09,996.77,263.43,1260.19,82.14,64.21,39.8,134.9
43.59,394.97,150.05,1036.44,270.59,1309.23,81.4,62.6,40.27,137.31
44.38,394.97,150.53,1056.27,270.11,1289.61,83.62,64.87,39.94,140.2
44.43,392.52,151.98,1040.84,273.45,1260.19,81.21,64.97,40.27,139.72
44.57,391.04,151.02,1025.9,274.41,1225.87,80.28,65.44,40.46,138.28
45.09,393.5,149.57,1020.92,272.98,1230.77,79.82,63.83,40.46,139.72
44.62,395,149.57,1040.84,270.11,1250.39,79.63,62.31,40.37,142.61
45.37,400.5,150.53,1050.8,270.11,1260.19,81.12,63.83,40.84,142.61
44.85,404,148.6,1030.88,266.3,1240.58,80.47,62.79,40.74,140.69
44.76,400,150.05,1050.8,266.77,1225.87,78.8,62.22,40.7,139.24
44.15,400,150.53,1015.94,269.16,1230.77,78.61,62.5,40.7,141.65
45.35,417,154.88,1045.82,276.32,1245.48,79.91,63.07,41.45,144.06
43.8,423.5,156.32,1065.74,279.66,1270,79.54,63.07,41.6,147.43
43.25,420,157.29,1070.72,276.8,1265.1,79.91,63.26,41.98,146.95
44.3,424,159.22,1075.7,272.5,1260.19,79.91,64.4,42.17,144.54
44.2,413,155.36,1055.78,274.5,1225.87,81.02,62.8,41.41,142.13
43.95,428,159.7,1080.68,281,1250.39,81.17,63.4,41.69,140.2
44.45,429.5,162,1080.68,282,1270,80.88,62.6,41.6,141.5
44.4,459,164,1085.66,280,1270,80.98,62.7,42.07,144
43.75,457,161,1080.68,278,1290,79.02,61.5,42.17,147
43.45,450,161,1075.7,277,1280,80,61.8,42.59,144
43.7,451.5,159,1075.7,272,1270,79.22,61.6,42.07,143
43.9,451,161,1085.66,276,1355,78.34,61.1,41.6,146.5
43.7,482.5,161.5,1095.62,273,1400,80.29,62.7,41.79,150
43.25,483,161.5,1095.62,273,1420,80.59,62.5,41.55,150
43.15,473,160.5,1090.64,269.5,1385,80.59,63.2,41.9,148.5
43.55,494,163,1105.58,270.5,1395,81.46,63.1,42.9,150.5
43.45,500,162.5,1125.5,272.5,1410,82.34,63.5,43,151
43.55,499,164,1125.5,271,1390,82.05,63.1,42.8,151.5
43.45,509,165.5,1150.4,273.5,1410,81.66,62.6,42.7,154
